uniqueCandidateId,voterNumber,ballotNumber,partyNameArabic,partyNameEnglish,candidateSequence,nominationType,governorate,sex,fullNameArabic,fullNameEnglish,email,phone,bio,photoUrl,coverPhotoUrl,verificationStatus,verificationDocuments,verifiedAt,verifiedBy,profileCompletionPercent,viewsCount,supportersCount,postsCount,eventsCount,sourceFile,metadataH1,metadataH2,createdAt,updatedAt,lastActiveAt
"AL-ballotNumber                          259 
ballotNumber    National Depth Allia-\nnce
Name: 0, dtype: object-001288",1288,"ballotNumber                          259 
ballotNumber    National Depth Allia-\nnce
Name: 0, dtype: object",,,3,Alliance,Al-Qadisiyah,MALE,"          The winds of Abdullah Karim Al-Khazaali's dryn-
                                                 ess",,,,,,,unverified,[],,,30,0,0,0,0,ElectionCandidates_Original.csv,nan,nan,2025-10-17T16:36:19.347901,2025-10-17T16:36:19.347901,
"DHI-ballotNumber                                           207 
ballotNumber    Reconstruction and Development Coali-\ntion
Name: 1, dtype: object-005047",5047,"ballotNumber                                           207 
ballotNumber    Reconstruction and Development Coali-\ntion
Name: 1, dtype: object",,,10,Alliance,Dhi Qar,MALE,"       Abdul Amir Hassan Ali Taiban the wo-
                                   rld",,,,,,,unverified,[],,,30,0,0,0,0,ElectionCandidates_Original.csv,nan,nan,2025-10-17T16:36:19.353890,2025-10-17T16:36:19.353890,
"THE-ballotNumber                 271 
ballotNumber    Services Alliance
Name: 2, dtype: object-000923",923,"ballotNumber                 271 
ballotNumber    Services Alliance
Name: 2, dtype: object",,,33,Alliance,The egg,MALE,"       Ali Hasiran is jealous of Attiyah Al-
                                Jaari.",,,,,,,unverified,[],,,30,0,0,0,0,ElectionCandidates_Original.csv,nan,nan,2025-10-17T16:36:19.356882,2025-10-17T16:36:19.356882,
"AL-ballotNumber               262 
ballotNumber    Diwaniyah Flame
Name: 3, dtype: object-001309",1309,"ballotNumber               262 
ballotNumber    Diwaniyah Flame
Name: 3, dtype: object",,,2,Alliance,Al-Qadisiyah,MALE,"       Amir Nafi Ghanem Abdul Hamza Alz-
                                 alzalıi",,,,,,,unverified,[],,,30,0,0,0,0,ElectionCandidates_Original.csv,nan,nan,2025-10-17T16:36:19.360890,2025-10-17T16:36:19.360890,
"BAG-ballotNumber                      269 
ballotNumber    National res-\nolution
Name: 4, dtype: object-004291",4291,"ballotNumber                      269 
ballotNumber    National res-\nolution
Name: 4, dtype: object",,,100,Alliance,Baghdad,FEMALE,"       Eithar Ahmed Mohammed Alwan Al-
                              Abbasi",,,,,,,unverified,[],,,30,0,0,0,0,ElectionCandidates_Original.csv,nan,nan,2025-10-17T16:36:19.364001,2025-10-17T16:36:19.364001,
"DOH-ballotNumber                                      314 
ballotNumber    Emmanuel Khoshaba Youkhana Al-\nQudani
Name: 5, dtype: object-004623",4623,"ballotNumber                                      314 
ballotNumber    Emmanuel Khoshaba Youkhana Al-\nQudani
Name: 5, dtype: object",,,1,"  Pe-
rson",Dohuk,MALE,"       Emmanuel Khoshaba Youkhana Budakh Al-
                                      Qudani",,,,,,,unverified,[],,,30,0,0,0,0,ElectionCandidates_Original.csv,nan,nan,2025-10-17T16:36:19.367232,2025-10-17T16:36:19.367232,
"SUL-ballotNumber                            222 
ballotNumber    Patriotic Union of Kurdistan
Name: 6, dtype: object-000944",944,"ballotNumber                            222 
ballotNumber    Patriotic Union of Kurdistan
Name: 6, dtype: object",,,6,Party,Sulaymaniyah,MALE,"       Gharib Ahmed Mustafa Am-
                           iran",,,,,,,unverified,[],,,30,0,0,0,0,ElectionCandidates_Original.csv,nan,nan,2025-10-17T16:36:19.367232,2025-10-17T16:36:19.367232,
"DHI-ballotNumber                  245 
ballotNumber    Canon's secr-\nets
Name: 7, dtype: object-005351",5351,"ballotNumber                  245 
ballotNumber    Canon's secr-\nets
Name: 7, dtype: object",,,13,Party,Dhi Qar,MALE,"       Great, kind, generous, kind, kind, kind, kind",,,,,,,unverified,[],,,30,0,0,0,0,ElectionCandidates_Original.csv,nan,nan,2025-10-17T16:36:19.375356,2025-10-17T16:36:19.375356,
"DHI-ballotNumber                202 
ballotNumber    Sadiqun Movement
Name: 8, dtype: object-004986",4986,"ballotNumber                202 
ballotNumber    Sadiqun Movement
Name: 8, dtype: object",,,2,Party,Dhi Qar,MALE,"       Hussam Fahd Sarrar, a young man from Sham
                                   Al-Badri",,,,,,,unverified,[],,,30,0,0,0,0,ElectionCandidates_Original.csv,nan,nan,2025-10-17T16:36:19.379906,2025-10-17T16:36:19.379906,
"BAG-ballotNumber              255 
ballotNumber    Progress Party
Name: 9, dtype: object-003784",3784,"ballotNumber              255 
ballotNumber    Progress Party
Name: 9, dtype: object",,,66,Party,Baghdad,MALE,"       In the name of Muhammad Salumi Hamad Al-
                                      Aqidi",,,,,,,unverified,[],,,30,0,0,0,0,ElectionCandidates_Original.csv,nan,nan,2025-10-17T16:36:19.384579,2025-10-17T16:36:19.384579,
