Candidate ID,Full Name (AR),Full Name (EN),Political Party,Governorate,Gender,Phone,Email,Twitter,Facebook,Instagram,Verification Status
2025_1007_أربيل,المرشح العراقي 1007,Iraqi Candidate 1007,سائرون,أربيل,أنثى,,,,,,
2025_1019_أربيل,المرشح العراقي 1019,Iraqi Candidate 1019,الحزب الشيوعي العراقي,أربيل,ذكر,,,,,,
2025_101_أربيل,المرشح العراقي 101,Iraqi Candidate 101,الحكمة,أربيل,أنثى,,,,,,
2025_1051_أربيل,المرشح العراقي 1051,Iraqi Candidate 1051,الفتح,أربيل,أنثى,,,,,,
2025_1053_أربيل,المرشح العراقي 1053,Iraqi Candidate 1053,الحزب الديمقراطي الكردستاني,أربيل,أنثى,,,,,,
2025_1056_أربيل,المرشح العراقي 1056,Iraqi Candidate 1056,سائرون,أربيل,أنثى,,,,,,
2025_109_أربيل,المرشح العراقي 109,Iraqi Candidate 109,النصر,أربيل,أنثى,,,,,,
2025_1118_أربيل,المرشح العراقي 1118,Iraqi Candidate 1118,النصر,أربيل,ذكر,,,,,,
2025_1120_أربيل,المرشح العراقي 1120,Iraqi Candidate 1120,تحالف عزم,أربيل,ذكر,,,,,,
2025_1143_أربيل,المرشح العراقي 1143,Iraqi Candidate 1143,تقدم,أربيل,ذكر,+964773925564,candidate11431143@parliament.iq,https://twitter.com/candidate11431143,,https://instagram.com/candidate11431143,collected
2025_1190_أربيل,المرشح العراقي 1190,Iraqi Candidate 1190,حركة امتداد,أربيل,أنثى,,,,,,
2025_1224_أربيل,المرشح العراقي 1224,Iraqi Candidate 1224,سائرون,أربيل,أنثى,,,,,,
2025_1225_أربيل,المرشح العراقي 1225,Iraqi Candidate 1225,العزم,أربيل,ذكر,,,,,,
2025_122_أربيل,المرشح العراقي 122,Iraqi Candidate 122,تقدم,أربيل,ذكر,,,,,,
2025_1236_أربيل,المرشح العراقي 1236,Iraqi Candidate 1236,الحزب الديمقراطي الكردستاني,أربيل,ذكر,,,,,,
2025_124_أربيل,المرشح العراقي 124,Iraqi Candidate 124,الحزب الديمقراطي الكردستاني,أربيل,أنثى,,,,,,
2025_125_أربيل,المرشح العراقي 125,Iraqi Candidate 125,دولة القانون,أربيل,أنثى,,,,,,
2025_126_أربيل,المرشح العراقي 126,Iraqi Candidate 126,الاتحاد الوطني الكردستاني,أربيل,أنثى,,,,,,
2025_134_أربيل,المرشح العراقي 134,Iraqi Candidate 134,النصر,أربيل,ذكر,,,,,,
2025_1350_أربيل,المرشح العراقي 1350,Iraqi Candidate 1350,العزم,أربيل,أنثى,,,,,,
2025_1372_أربيل,المرشح العراقي 1372,Iraqi Candidate 1372,دولة القانون,أربيل,ذكر,,,,,,
2025_1418_أربيل,المرشح العراقي 1418,Iraqi Candidate 1418,الفتح,أربيل,أنثى,,,,,,
2025_1427_أربيل,المرشح العراقي 1427,Iraqi Candidate 1427,تحالف السيادة,أربيل,ذكر,,,,,,
2025_1442_أربيل,المرشح العراقي 1442,Iraqi Candidate 1442,الحكمة,أربيل,أنثى,,,,,,
2025_1443_أربيل,المرشح العراقي 1443,Iraqi Candidate 1443,الفتح,أربيل,ذكر,,,,,,
2025_1505_أربيل,المرشح العراقي 1505,Iraqi Candidate 1505,سائرون,أربيل,ذكر,,,,,,
2025_1527_أربيل,المرشح العراقي 1527,Iraqi Candidate 1527,الحزب الشيوعي العراقي,أربيل,أنثى,,,,,,
2025_1559_أربيل,المرشح العراقي 1559,Iraqi Candidate 1559,الحكمة,أربيل,أنثى,,,,,,
2025_158_أربيل,المرشح العراقي 158,Iraqi Candidate 158,حركة امتداد,أربيل,أنثى,,,,,,
2025_1603_أربيل,المرشح العراقي 1603,Iraqi Candidate 1603,تحالف عزم,أربيل,أنثى,,,,,,
